ID,Title,FacultyID_1,FacultyID_2,CallNum,Requirements,Location,Schedule,Points,Section,Type,Session,Year,Semester
A4050,ARCH ELECTIVE INTERNSHIP,422,null,12782,null,null,BY APT ,1.5,1,ARCH,null,2016,1
A4106,STUDIO VI,390,749,29529,STUDIO SECTION VIA LOTTERY REQUIRED 3RD YR MARCH + AAD ,600/700 AVERY,null,0,12,ARCH,FULL SEMESTER,2016,1
A4814,HACKING THE URBAN EXPERIENCE,495,null,64692,VISUAL STUDIES ,114 AVERY,TU 7 PM - 9 PM,1.5,1,VS,SES A 1/19 - 3/4 ,2016,1
A4825,SUSTAINABILITY AND PRESERVATION ,523,null,83497,ELECTIVE,409 AVERY ,TH 11 AM - 1 PM ,3,1,HP,FULL SEMESTER,2016,1
A4832,LINES NOT SPLINES: DRAWING IS INVENTION I,376,null,88441,VISUAL STUDIES ,200 BUELL ,W 7 PM - 9 PM,1.5,1,VS,SES A 1/19-3/4,2016,1
A4841 , ALGORITHMS AND URBANISMS: SIMCITY,496,null,92067,VISUAL STUDIES,115 AVERY,M 9 AM - 11 AM ,1.5,1,VS,SES A 1/19-3/4,2016,1
Pla4050,UP/HP ELECTIVE INTERNSHIP,781,null,63279,null,null,null,null,1,HP,null,2016,1
A4002,CORE ARCHITECTURE STUDIO II,590,null,65796,STUDIO-REQUIRED 1ST YR MARCH,500 AVERY NORTH,"M, W, & F 2 PM - 6 PM",9,1,ARCH,FULL SEMESTER,2016,1
A4004,ADVANCED STUDIO IV,609,null,71196,STUDIO- REQUIRED 2ND YR MARCH,500 AVERY SOUTH,"MTH 1:30 PM - 6:30 PM , W 3 PM - 5 PM",9,1,ARCH,FULL SEMESTER,2016,1
A4006,ADVANCED STUDIO VI,619,null,87530,STUDIO- REQUIRED 3RD YR MARCH + AAD ,600/700 AVERY,"MTH 1:30 Pm - 6:30 PM,F 3 Pm - 5 Pm",9,1,ARCH,FULL SEMESTER,2016,1
A4010,DESIGN STUDIO,705,null,88005,NY/P STUDENTS ONLY,REIDHALL,TBA,3,1,NYP,FULL SEMESTER,2016,1
A4015,FRENCH SEMINAR - CONVERSATION,705,null,12096,NY/P STUDENTS ONLY,REIDHALL,TBA,3,1,NYP,FULL SEMESTER,2016,1
A4017,FRENCH INTENSIVE I,705,null,13296,NY/P STUDENTS ONLY,REIDHALL,TBA,1.5,1,NYP,TBA,2016,1
A4024,ARCHITECTURAL DRWG + REP II,415,805,73316,VISUAL STUDIES -REQUIRED 1ST YR,113 AVERY,TU 10 AM- 12 PM,3,1,ARCH,FULL SEMESTER,2016,1
A4029,"ARCHITECTURE, PLANNING AND PRESERVATION : PARIS",705,null,16347,NY/P STUDENTS ONLY,REIDHALL,TBA,3,1,NYP,FULL SEMESTER,2016,1
A4030 ,THE DEVELOPMENT OF PARIS,705,null,17698,NY/P STUDENTS ONLY,REIDHALL,TBA,3,1,NYP,FULL SEMESTER,2016,1
A4031,HISTORY OF EUROPEAN CITIES,705,null,20796,NY/P STUDENTS ONLY,REIDHALL,TBA,3,1,NYP,FULL SEMESTER,2016,1
A4033,CCCP COLLOQUIUM II,432,null,62846,CCCP REQUIRED 1ST YR ,412 AVERY,W 11 Am - 1 PM,3,1,ARCH,FULL SEMESTER,2016,1
A4037,IMAGINATIVE TRANSFORMATIONS  ,705,null,21948,NY/P STUDENTS ONLY,REIDHALL,TBA,1.5,1,NYP,TBA,2016,1
