ID,Year,Semester,CourseId,Section,facultyId,Title
"2","2014","3","A4001","1","405","A4001_001_2014_3_Core I Brief I FA 2014.pdf"
"3","2015","3","A4001","1","376","A4001_001_2015_3 Core I_Navigator_General+Under.pdf"
"8","2015","3","A4003","1","376","A4003_001_2015_3_FallHousingSyllabusSchedule_Final.pdf"
"5","2015","1","A4002","1","590","A4002_2015_1_Syllabus_COREII 20141219_page1_rev1.pdf"
"9","2012","3","A4023","1","380","A4023_001_2012_3_ADR I_UhlFano.pdf"
"10","2013","3","A4023","1","380","A4023_001_2013_3_ Architectural Drawing Representation - Uhl.pdf"
"11","2014","3","A4023","1","380","A4023_001_2014_3_ADR I_Uhl Nagy Goberna.pdf"
"13","2015","3","A4023","1","380","A4023_001_2015_3_ADR_fall15_syllabus_complete_DRAFT.pdf"
"18","2012","3","A4032","1","444","A4032_001_2012_3 CCCP Arch Colloquim_Scott.pdf"
"16","2012","3","A4028","1","503","A4028_001_2012_3 Building New York_Dolkart.pdf"
"17","2014","3","A4028","1","503","A4028_001_2014_3_Dolkart BUILDING NEW YORK.pdf"
"19","2013","3","A4032","1","418","A4032_001_2013_3_Arch Colloquium I Documents and Discourse - Wasiuta.pdf"
"20","2014","3","A4032","1","418","A4032_001_2014_3_CCCP Colloquium_Wasiuta.pdf"
"24","2013","3","A4101","4","593","A4101_004_2013_3_Core I Studio.pdf"
"27","2013","3","A4101","7","595","A4101_007_2013_3_Core I Studio.pdf"
"26","2013","3","A4101","6","413","A4101_006_2013_3_Core I Studio.pdf"
"22","2013","3","A4101","2","376","A4101_002_2013_3_Core I Studio.pdf"
"28","2013","3","A4101","8","380","A4101_008_2013_3_Core I Studio.pdf"
"23","2013","3","A4101","3","592","A4101_003_2013_3_Core I Studio.pdf"
"25","2013","3","A4101","5","594","A4101_005_2013_3_Core I Studio.pdf"
"35","2014","3","A4101","7","593","A4101_007_2014_3_Core I Brief I FA 2014.pdf"
"29","2014","3","A4101","1","413","A4101_001_2014_3_Core I Brief I FA 2014.pdf"
"34","2014","3","A4101","6","597","A4101_006_2014_3_Core I Brief I FA 2014.pdf"
"32","2014","3","A4101","4","380","A4101_004_2014_3_Core I Brief I FA 2014.pdf"
"31","2014","3","A4101","3","592","A4101_003_2014_3_Core I Brief I FA 2014.pdf"
"33","2014","3","A4101","5","594","A4101_005_2014_3_Core I Brief I FA 2014.pdf"
"36","2014","3","A4101","8","596","A4101_008_2014_3_Core I Brief I FA 2014.pdf"
"43","2015","3","A4101","7","383","A4101_007_2015_3_Core I X Statement_Brief I_Under.pdf"
"38","2015","3","A4101","2","376","A4101_002_2015_3_Core I X Statement_Brief I_Under.pdf"
"40","2015","3","A4101","4","380","A4101_004_2015_3_Core I X Statement_Brief I_Under.pdf"
"42","2015","3","A4101","6","382","A4101_006_2015_3_Core I X Statement_Brief I_Under.pdf"
"44","2015","3","A4101","8","384","A4101_008_2015_3_Core I X Statement_Brief I_Under.pdf"
"37","2015","3","A4101","1","377","A4101_001_2015_3_Core I X Statement_Brief I_Under.pdf"
"39","2015","3","A4101","3","379","A4101_003_2015_3_Core I X Statement_Brief I_Under.pdf"
"52","2014","1","A4102","5","435","A4102_005_2014_1_Segal.pdf"
"45","2013","1","A4102","2","413","A4102_002_2013_1_Rakatansky.pdf"
"49","2014","1","A4102","2","413","A4102_002_2014_1_Rakatansky.pdf"
"59","2015","1","A4102","4","413","A4102_004_2015_1_Mark Rakatansky_Studio Statement_Core II_Spring 2015.pdf"
"46","2013","1","A4102","7","376","A4102_007_2013_1_Kumpusch.pdf"
"54","2014","1","A4102","7","376","A4102_007_2014_1_Kumpusch.pdf"
"53","2014","1","A4102","6","599","A4102_006_2014_1_Klein.pdf"
"65","2013","3","A4103","1","388","A4103_001_2013_3_Core Housing Studio III - Sample.pdf"
"62","2015","1","A4102","7","389","A4102_007_2015_1_MarinoStudio Statement Spring 2015.pdf"
"63","2015","1","A4102","8","602","A4102_008_2015_1_core_ii_statement_barbour.pdf"
"64","2012","3","A4103","3","390","A4103_003_2012_3 LOT EK_TollaLignanodeMonchaux.pdf"
"60","2015","1","A4102","5","383","A4102_005_2015_1_Goetz Studio Brief_ CORELESS 20150105.pdf"
"61","2015","1","A4102","6","376","A4102_006_2015_1 Core 2 SP2015 CHR a KUMPUSCH.pdf"
"66","2013","3","A4103","2","389","A4103_002_2013_3_Core Housing Studio III - Marino.pdf"
"68","2013","3","A4103","4","435","A4103_004_2013_3_Core Housing Studio III - Segal.pdf"
"67","2013","3","A4103","3","390","A4103_003_2013_3_Core Housing Studio III - Lignano Monchaux Tolla.pdf"
"69","2013","3","A4103","5","392","A4103_005_2013_3_Core Housing Studio III - Eldred.pdf"
"72","2013","3","A4103","8","673","A4103_008_2013_3_Core Housing Studio III - Gauthier.pdf"
"70","2013","3","A4103","6","393","A4103_006_2013_3_Core Housing Studio III - Gooden.pdf"
"47","2013","1","A4102","8","383","A4102_008_2013_1_Rothstein.pdf"
"133","2013","3","A4105","14","000","A4105_014_2013_3 Memory, Memorial, Memorialization - Breslin Kudo.pdf"
"138","2013","3","A4105","19","000","A4105_019_2013_3 The Urban Estuary - Ascher Orff.pdf"
"145","2014","3","A4105","7","000","A4105_007_2014_3_Jamaleddine-ElKadi.pdf"
"98","2014","1","A4104","7","591","A4104_007_2014_1_Kurgan.pdf"
"108","2012","3","A4105","1","397","A4105_001_2012_3 ADV Studio V_HawkinsonUhl.pdf"
"96","2014","1","A4104","5","594","A4104_005_2014_1_Kim.pdf"
"107","2015","1","A4104","8","594","A4104_008_2015_1_Kim_Knowns Unknowns Studio_Spr2015.pdf"
"76","2014","3","A4103","4","604","A4103_004_2014_3_Schindler.pdf"
"77","2014","3","A4103","5","392","A4103_005_2014_3_Eldred.pdf"
"80","2014","3","A4103","8","603","A4103_008_2014_3_Gauthier_Studio_Statement.pdf"
"78","2014","3","A4103","6","393","A4103_006_2014_3_Gooden.pdf"
"85","2015","3","A4103","5","392","A4103_005_2015_3_eldred.pdf"
"88","2015","3","A4103","8","395","A4103_008_2015_3_Park.pdf"
"86","2015","3","A4103","6","393","A4103_006_2015_3_Gooden Smuts.pdf"
"89","2013","1","A4104","1","605","A4104_001_2013_1_Fornabai.pdf"
"90","2013","1","A4104","2","607","A4104_002_2013_1_Varnelis.pdf"
"93","2014","1","A4104","2","607","A4104_002_2014_1_Varnelis.pdf"
"92","2014","1","A4104","1","605","A4104_001_2014_1_Fornabai.pdf"
"101","2015","1","A4104","2","611","A4104_002_2015_1_Thomann Float Flutter Flow.pdf"
"91","2013","1","A4104","3","608","A4104_003_2013_1_ManaughTwilley.pdf"
"97","2014","1","A4104","6","609","A4104_006_2014_1_Marble.pdf"
"110","2012","3","A4105","4","609","A4105_004_2012_3 CBIP-2 Benjamin.pdf"
"71","2013","3","A4103","7","391","A4103_007_2013_3_Core Housing Studio III - Bunge.pdf"
